iter	Passed	Remaining
0	164	16325
1	172	8472
2	181	5873
3	196	4722
4	209	3973
5	217	3410
6	225	2991
7	232	2668
8	237	2399
9	242	2179
10	250	2025
11	256	1883
12	260	1746
13	265	1629
14	269	1526
15	273	1435
16	278	1360
17	284	1293
18	288	1229
19	292	1170
20	297	1118
21	301	1069
22	305	1022
23	309	980
24	312	937
25	317	902
26	320	865
27	325	835
28	328	804
29	333	777
30	336	749
31	341	725
32	345	701
33	348	676
34	354	657
35	358	638
36	361	616
37	364	594
38	367	574
39	371	557
40	375	540
41	382	527
42	386	512
43	388	494
44	391	478
45	396	465
46	402	454
47	407	441
48	413	430
49	417	417
50	421	404
51	424	392
52	429	380
53	432	368
54	435	356
55	438	344
56	442	334
57	446	322
58	449	312
59	451	300
60	453	290
61	456	280
62	459	270
63	462	260
64	464	250
65	467	240
66	470	231
67	472	222
68	475	213
69	478	204
70	480	196
71	482	187
72	485	179
73	489	172
74	493	164
75	496	156
76	498	148
77	499	141
78	501	133
79	504	126
80	507	118
81	508	111
82	510	104
83	512	97
84	514	90
85	516	84
86	518	77
87	520	71
88	523	64
89	525	58
90	526	52
91	528	45
92	530	39
93	532	33
94	534	28
95	537	22
96	539	16
97	541	11
98	542	5
99	544	0
